plant_name,name,recipe_type,difficulty,usage_method,description,treats,benefits,main_ingredient,preparation_steps,preparation_time,dosage,notes
"Cây táo gỗ","Trà quả khô trị tiêu hóa","tea","medium","oral","Nước sắc từ quả táo gỗ phơi khô giúp ổn định đường ruột.","Tiêu chảy mãn tính, kiết lỵ, đau dạ dày","Cầm tiêu chảy, giảm đau bụng, kích thích tiêu hóa","15-20g quả khô thái lát","1. Rửa sạch các lát quả khô.\n2. Cho vào ấm với 500ml nước.\n3. Đun sôi nhỏ lửa còn khoảng 200ml.","30","Uống 2 lần/ngày khi còn ấm.","Nên uống sau ăn."
"Cây táo gỗ","Nước ép giải khát","juice","easy","oral","Nước ép từ thịt quả chín có tác dụng giải nhiệt tốt.","Nóng trong người, chán ăn, thiếu vitamin","Thanh nhiệt, bổ sung năng lượng","1 quả chín mềm","1. Bổ quả lấy phần thịt màu vàng cam.\n2. Dầm nát với ít nước lọc, lọc bỏ hạt và xơ.\n3. Thêm chút đường hoặc mật ong tùy khẩu vị.","15","Uống 1 ly/ngày.","Ngon hơn khi uống lạnh."
"Cây táo gỗ","Lá đắp trị viêm loét","paste","easy","topical","Lá tươi giã nát đắp lên vết thương.","Mụn nhọt, vết loét ngoài da","Kháng khuẩn, tiêu viêm, làm sạch vết thương","50g lá tươi","1. Rửa sạch lá bằng nước muối loãng.\n2. Giã nát hoặc xay nhuyễn.\n3. Đắp trực tiếp lên vùng da bị tổn thương băng lại.","10","Đắp 1 lần/ngày trong 2-3 giờ.","Vệ sinh kỹ vùng da trước khi đắp."
"Xuyên tâm liên","Trà giải cảm sốt","tea","easy","oral","Hãm lá khô như trà uống hàng ngày khi có dịch bệnh.","Cảm cúm, sốt, ho, đau họng","Hạ sốt, kháng virus, tăng đề kháng","10-15g lá khô","1. Rửa sạch lá khô.\n2. Hãm với 300ml nước sôi trong bình kín.\n3. Đợi 15 phút cho ra chất.","15","Uống thay trà trong ngày.","Vị rất đắng, có thể thêm cam thảo."
"Xuyên tâm liên","Bột kháng viêm","powder","medium","oral","Tán bột mịn để tiện bảo quản và sử dụng lâu dài.","Viêm nhiễm đường ruột, viêm họng mãn tính","Tiện lợi, tác dụng nhanh","500g cây khô (cả thân lá)","1. Sao vàng dược liệu.\n2. Tán thành bột mịn.\n3. Bảo quản trong lọ kín.","45","Uống 2-3 lần/ngày, mỗi lần 2-4g hòa nước ấm.","Không dùng cho phụ nữ mang thai."
"Xuyên tâm liên","Nước tắm trị ghẻ lở","other","easy","bath","Nước đun lá tươi dùng để tắm gội.","Ghẻ lở, mụn nhọt, ngứa da","Sát khuẩn ngoài da","1 nắm to lá tươi (khoảng 200g)","1. Rửa sạch lá.\n2. Đun sôi với 2-3 lít nước trong 10 phút.\n3. Pha thêm nước lạnh cho ấm vừa đủ.","20","Tắm 1 lần/ngày.","Không tráng lại bằng nước thường."
"Trầm Hương","Trà Trầm an thần","tea","hard","oral","Sử dụng dăm gỗ trầm hương để hãm trà thưởng thức.","Căng thẳng, mất ngủ, hen suyễn","An thần, thư giãn, ấm thận, nạp khí","1-2g dăm trầm loại tốt","1. Tráng ấm chén bằng nước sôi.\n2. Cho dăm trầm vào, chế nước sôi.\n3. Hãm trong 5-10 phút.","10","Uống nhâm nhi vào buổi tối hoặc sáng sớm.","Trầm hương đắt tiền, nên dùng tiết kiệm."
"Trầm Hương","Rượu Trầm tráng dương","tincture","medium","oral","Ngâm rượu với gỗ trầm hương giúp bổ thận.","Yếu sinh lý, đau lưng, lạnh người","Bổ dương, mạnh gân cốt","10-20g gỗ trầm, 1 lít rượu trắng 45 độ","1. Rửa sạch gỗ trầm, để ráo.\n2. Cho vào bình thủy tinh, đổ ngập rượu.\n3. Ngâm ít nhất 1 tháng.","30","Uống 1-2 chén nhỏ (20ml) trong bữa ăn.","Không uống quá nhiều gây nóng."
"Trầm Hương","Bột xông nhà","other","easy","inhale","Đốt bột trầm để xông hương.","Không khí ẩm mốc, tà khí, stress","Làm sạch không khí, thư giãn tinh thần","Bột trầm hương nguyên chất","1. Cho bột vào lư xông điện hoặc đốt trực tiếp trên than hoạt tính.\n2. Để khói lan tỏa tự nhiên.","5","Xông 30 phút mỗi ngày.","Phòng kín nên mở hé cửa."
"Rau đắng biển","Nước ép tăng trí nhớ","juice","easy","oral","Nước ép từ cây tươi giữ nguyên hoạt chất.","Suy giảm trí nhớ, kém tập trung","Bổ não, tăng tuần hoàn máu não","50g rau đắng biển tươi","1. Rửa sạch rau, ngâm nước muối loãng.\n2. Xay nhuyễn với ít nước lọc.\n3. Lọc lấy nước cốt.","10","Uống 1 lần vào buổi sáng.","Có vị đắng, có thể pha thêm mật ong."
