name,scientific_name,english_name,vietnamese_name,description,biological_info,medicinal_info,usage,common_locations
"Cây táo gỗ","Aegle marmelos (L.) Corrêa","Wood apple","Cây Mâu","Thuộc họ Rutaceae (Cam chanh).","Cây gỗ trung bình, sống lâu năm, rụng lá vào mùa khô, thân và cành có gai nhọn dài và cứng. Lá mọc so le, là lá kép gồm 3 lá chét (đôi khi 5), lá chét giữa lớn hơn 2 lá bên, hình trứng hoặc bầu dục, đuôi nhọn, mép khía răng cưa nhỏ, có mùi thơm nhẹ. Hoa mọc thành chùm ở nách lá, to, màu trắng lục, có mùi thơm, cánh hoa dày, nhị nhiều. Quả mọng, hình cầu hoặc hình trứng, vỏ ngoài rất cứng hóa gỗ (nên gọi là Táo gỗ), nhẵn, màu xám hoặc vàng nhạt, thịt quả màu vàng cam, dẻo quánh, có mùi thơm hắc, chứa nhiều hạt dẹt có lông.","Chữa kiết lị, tiêu chảy mãn tính, đau dạ dày, viêm đại tràng, táo bón, đầy hơi, khó tiêu, sốt, cảm cúm, viêm phế quản, hen suyễn, điều hòa kinh nguyệt.","","Cây mọc tự nhiên ở các vùng rừng thưa rụng lá và thường được trồng ở các chùa chiền, vườn nhà, phổ biến ở các tỉnh miền Trung (như Ninh Thuận) và miền Nam nước ta (Tây Ninh, An Giang)."
"Xuyên tâm liên","Andrographis paniculata (Burm.f.) Wall.","Creat, Green Chirayta, King of bitters","Cây lá đắng","Thuộc họ Acanthaceae (Ô rô).","Cây thân thảo, sống hàng năm, mọc thẳng đứng, thân vuông, phân nhiều cánh theo 4 hướng, các cánh lá thường có tiết diện vuông. Lá mọc đối xứng, cuống ngắn, phiến lá hình mác hoặc thuôn dài, hai đầu nhọn, mép nguyên, mềm, màu xanh lục. Hoa mọc thành chùm thưa ở nách lá và đầu cành, kích thước nhỏ, màu trắng, điểm những đốm màu hống tím ở cánh hoa, nhị 2. Quả nang, dẹt, thuôn dài, ở giữa có rãnh dọc, khi chín tách thành 2 mảnh.","Chữa sốt, cúm, ho, viêm họng, viêm phổi, sưng amygdal, viêm đường tiết niệu, viêm âm đạo, viêm loét cổ tử cung, khí hư, tiêu chảy, lỵ, huyết áp cao…","","Được trồng rộng rãi tại các vườn thuốc nam, trạm y tế và các vùng chuyên canh dược liệu, phổ biến trên khắp nước ta."
"Trầm Hương","Aquilaria malaccensis Lam.","Eagle wood, Agarwood","Gỗ đại bàng","Thuộc họ Thymelaeceae (Trầm).","Cây gỗ lớn, sống lâu năm, thân thẳng, vỏ ngoài màu xám, có xơ, gỗ bên trong mềm, màu trắng. Lá mọc so le, hình bầu dục, hình trứng hoặc ngọn giáo, đầu nhọn, mép nguyên, phiến lá mỏng nhưng dai, mặt trên bóng, mặt dưới nhạt hơn do có lông mịn rải rác. Hoa mọc thành chùm hoặc tán ở nách lá, màu trắng xanh hoặc vàng lục nhạt, đài hoa hình chuông có lông dầy. Quả nang, hình quả lê hoặc trứng ngược, vỏ quả hóa gỗ, có lông mềm, khi chín nứt thành 2 mảnh, chứa 1-2 hạt sẫm màu, phần dưới hạt có phần phụ mềm (cơm). Đặc biệt, tại những nơi thân cây bị thương (kiến đục, sét đánh hoặc tác động con người), cây tiết ra nhựa bao bọc vết thương, lâu ngày tích tụ thành phần gỗ chứa nhiều nhựa thơm gọi là Trầm Hương.","Chữa đau bụng, đầy hơi, nôn mửa, hen suyễn, khó thở, tức ngực, bí tiểu, lưng gối lạnh đau, nam giới tinh lạnh, tráng dương, an thần, giảm đau, cầm máu.","Làm hương liệu, nước hoa cao cấp.","Cây mọc tự nhiên trong các cánh rừng già nhiệt đới, rừng nguyên sinh và hiện nay được trồng chuyên canh để khai thác trầm, phổ biến ở các tỉnh miền Trung và Tây Nguyên nước ta (nổi tiếng nhất ở Khánh Hòa, Quảng Nam, Hà Tĩnh)."
"Rau đắng biển","Bacopa monnieri (L.) Wettst","Water hyssop, Brahmi","Rau sam trắng, Cây ruột gà","Thuộc họ Plantaginaceae (Mã đề).","Cây thảo sống dai, mọc bò lan trên đất ẩm hoặc vươn dài trong nước, thân mập, xốp, nhẵn, chia nhiều đốt, có rễ ở các đốt. Lá mọc đối, không cuống, hình trái xoan hoặc hình thìa, thịt lá dày, mọng nước, màu xanh lục, vị đắng. Hoa nhỏ mọc riêng lẻ ở nách lá, cuống dài, màu trắng hoặc tím nhạt, 5 cánh. Quả nang hình trứng, nhọn ở đầu, chứa nhiều hạt nhỏ màu đen.","Tăng cường trí nhớ, cải thiện khả năng tập trung, giảm lo âu, căng thẳng, chống oxy hóa, bảo vệ tế bào thần kinh, chữa suy nhược thần kinh, động kinh, viêm phế quản, khàn tiếng, tiểu buốt.","","Cây ưa ẩm, ưa sáng, mọc hoang ở các vùng đất ngập nước, ruộng lúa, ven kênh rạch, đầm lầy. Phổ biến khắp các vùng đồng bằng và ven biển Việt Nam, đặc biệt nhiều ở Đồng bằng sông Cửu Long."
"Dong riềng đỏ","Canna indica L.","Indian shot","","Thuộc họ Cannaceae (Dong riềng).","Cây thân thảo, sống lâu năm, cao 1-2 m, mọc thẳng đứng từ thân rễ (củ) mập mạp dưới đất. Lá mọc so le hoặc xoắn, có bẹ lá lớn ôm chặt tạo thành thân giả, phiến lá to, hình bầu dục thuôn dài, màu xanh lục hoặc tía. Hoa mọc thành cụm (chùm hoặc ngù) ở ngọn thân, không đối xứng, màu sắc sặc sỡ (đỏ, cam, vàng) do các nhị lép biến đổi thành dạng cánh lớn. Quả nang, hình cầu hoặc trứng, vỏ ngoài có nhiều gai/mụn nhỏ, chứa nhiều hạt tròn, cứng, màu đen.","Chữa sốt, khó tiêu (Rễ ngâm rượu hoặc sắc uống). Viêm tai (Hạt tán bột rắc).","Trồng làm cảnh.","Phân bố khắp Việt Nam."
"Rau má","Centella asiatica (L.) Urb.","Gotu kola, Indian pennywort, Asiatic pennywort","","Thuộc họ Apiaceae (Hoa tán).","Cây thân thảo bò lan, sống lâu năm, mọc sát đất, thân nhẵn, mảnh, có rễ ở các mấu. Lá mọc từ gốc hoặc từ mấu, có cuống dài, phiến lá hình thận hoặc gần tròn, mép có khía răng cưa nông, màu xanh lục. Hoa mọc thành cụm (tán) nhỏ ở kẽ lá, cuống ngắn, cánh hoa rất nhỏ, màu trắng hoặc phớt đỏ/tím nhạt.","Chữa sốt, bệnh về gan, vàng da, táo bón, thổ huyết, tiểu tiện ít và buốt… (cả cây).","","Cây mọc tự nhiên phổ biến ở khắp nơi."
"Nho tía","Cissus quadrangularis L.","Veldt grape, Devil's backbone, Adamant creeper","Rau tai châu","Thuộc họ Vitaceae (Nho).","Cây thân leo, mọng nước, sống lâu năm, thân có 4 cạnh lồi rõ rệt, màu xanh lục, các đốt thân dài và thường thắt lại ở các mấu. Lá mọc so le, đơn giản, phiến lá dày, hình tim hoặc chia 3 thùy nông, mép có răng cưa. Hoa mọc thành cụm (ngù) đối diện với lá, hoa nhỏ, màu trắng, xanh nhạt hoặc phớt vàng. Quả mọng, hình cầu, khi non màu xanh, khi chín chuyển sang màu đỏ sậm hoặc đen, chứa một hạt.","Bổ máu cho phụ nữ sau khi sinh đẻ (cả cây sắc uống). Dịch thân chữa rối loạn kinh nguyệt. Toàn cây bó gãy xương.","","Cây mọc tự nhiên trên khắp Việt Nam."
"Chanh ta","Citrus aurantiifolia (Christm.) Swingle","Bitter orange, Seville orange","","Thuộc họ Rutaceae (Cam chanh).","Cây gỗ nhỏ hoặc cây bụi, cao 2-5 m, thân và cành thường có gai nhọn, cứng. Lá mọc so le, là lá kép 1 lá chét, phiến lá hình trứng, mép có răng cưa nhỏ, cuống lá có cánh hẹp. Hoa mọc thành cụm nhỏ ở nách lá, hoa nhỏ, màu trắng, rất thơm. Quả mọng (loại quả có múi), hình cầu hoặc bầu dục nhỏ, vỏ mỏng, khi chín màu vàng xanh, dịch quả rất chua, chứa nhiều hạt.","Về Y học, chanh giúp tăng cường đề kháng, trị ho, viêm họng và giải cảm.","Làm gia vị, tạo vị chua cho món ăn.","Được trồng phổ biến ở mọi miền Việt Nam."
"Cây Đậu biếc","Clitoria ternatea L.","Asian pigeon wings, butterfly pea","","Thuộc họ Fabaceae (Đậu).","Cây thân thảo leo, sống lâu năm, thân mảnh, có lông, thường leo bằng cách quấn thân. Lá mọc so le, là lá kép lông chim lẻ, gồm 5-7 lá chét mọc đối, hình bầu dục hoặc trái xoan thuôn. Hoa mọc đơn độc ở nách lá, đặc trưng với màu xanh lam đậm hoặc tím biếc (cũng có giống màu trắng), cánh hoa lớn nhất (cánh cờ) có hình phễu loe rộng, ở tâm thường có đốm màu trắng hoặc vàng nhạt. Quả nang (quả đậu) dẹt, dài, đầu có mũi nhọn, khi chín màu nâu, chứa 6-10 hạt nhỏ, dẹt.","Thuốc làm xe, tẩy (Rễ). Chữa mụn nhọt, ho, đau mắt.","","Cây nhập trồng ở nhiều tỉnh thành phố của Việt Nam."
"Cỏ nhọ nồi","Eclipta prostrata Roxb.","False daisy","Cỏ mực","Thuộc họ Asteraceae (Cúc).","Cây thân thảo, mọc đứng hoặc bò lan, sống hàng năm, thân màu lục hoặc đỏ tía, có lông cứng áp sát, đặc biệt khi vò nát có nhựa chảy ra màu đen (nên gọi là nhọ nồi). Lá mọc đối, gần như không cuống, hình mũi mạc hẹp hoặc thuôn dài, mép lá khía răng cưa nhỏ, hai mặt lá có lông nhám. Hoa mọc thành cụm đầu màu trắng ở nách lá hoặc ngọn thân, gồm các hoa cái hình lưỡi nhỏ ở vòng ngoài và hoa lưỡng tính hình ống ở giữa. Quả bế (quả khô), hình dẹt hoặc 3 cạnh, có các nốt sần nhỏ, đầu cụt, khi chín màu đen, hạt nhỏ.","Cỏ nhọ nồi có công dụng cầm máu, ho ra máu, chảy máu cam, viêm gan, sốt xuất huyết, tử cung xuất huyết, viêm ruột, lỵ (cả cây).","","Cây mọc tự nhiên nơi đất ẩm ở khắp nơi từ vùng núi tới vùng đồng bằng của nước ta."
